llegaban de los bosques, sin dar la cara, sin dejar [[следы]], urgidos, cautelosos	huellas
 maíz, se presentaba a los sacerdotes, astros de plumas asomados a las estructuras geométricas, y recibía de sus labios, entre pompas rituales, el nombre de consanguíneo de los Dioses, y de sus manos enguantadas en mazorcas de perlas, el [[воротник]] de agua inmóvil, trenza de cristal de roca que ornaría su cuello de agujas refulgentes:Si la voz subía de una de las fortalezas de granizo petrificado, el Mascador de Luna, autor del canto de guerra escogido para entonarlo en las atalayas aquella noche de luna grande, vestía luz de planeta joven, se presentaba a los guerreros, huracanes de plumas de quetzal, y recibía de sus labios, entre retumbar de atabales, el nombre de Flechador de Cantos de Guerra, y de sus manos teñidas de sangre de pitahaya, el dardo de la noche adamantina. Pero, dónde encontrar el mando nacido de copales hablantes, de palabras que pegan las cosas...	collar
arropados en [[лёгкий]] ripio de neblina.	ligero
 los templos, cantos de guerra en las fortalezas, canciones floridas en las casas, los Mascadores de Luna se perdían entre la muchedumbre por los mercados, los juegos de pelota, las escuelas de tierra blanca, o se ocultaban en las [[окраина]] de la ciudad a comer luna helada, luna creciente, luna que de pronto no les cabía más en la boca ni en los ojos, por ser ya la primera noche de plenilunio.	afueras
 torres de dientes rojiamarillos por el fulgor de los blandones de ocote, desde una de las casas construidas sobre colinas verdes, desgranaría la mazorca de maíz el himno sacro, salpicaría sangre de batalla la arenga guerrera, deshojaría flores de [[счастья / сказанного]] el madrigal, en las voces de los que cantaban para coronar, con las tablillas escogidas, de maíz, sangre y amor aquella lunación poética.	dicha
 fiesta de maíz, se presentaba a los sacerdotes, astros de plumas asomados a las estructuras geométricas, y recibía de sus labios, entre pompas rituales, el nombre de consanguíneo de los Dioses, y de sus manos enguantadas en mazorcas de [[бисер]], el collar de agua inmóvil, trenza de cristal de roca que ornaría su cuello de agujas refulgentes:Si la voz subía de una de las fortalezas de granizo petrificado, el Mascador de Luna, autor del canto de guerra escogido para entonarlo en las atalayas aquella noche de luna grande, vestía luz de planeta joven, se presentaba a los guerreros, huracanes de plumas de quetzal, y recibía de sus labios, entre retumbar de atabales, el nombre de Flechador de Cantos de Guerra, y de sus manos teñidas de sangre de pitahaya, el dardo de la noche adamantina. Pero, dónde encontrar el mando nacido de copales hablantes, de palabras que pegan las cosas...	perlas
Luna, autor de la tablilla que cantaban, vestía de fiesta de maíz, se presentaba a los [[священники]], astros de plumas asomados a las estructuras geométricas, y recibía de sus labios, entre pompas rituales, el nombre de consanguíneo de los Dioses, y de sus manos enguantadas en mazorcas de perlas, el collar de agua inmóvil, trenza de 	sacerdotes
arropados en ligero ripio de [[туман; дымка]].	neblina
en los dinteles de las fortalezas de muros de [[град]] petrificado	granizo
 Luna se perdían entre la muchedumbre por los mercados, los juegos de pelota, las escuelas de tierra blanca, o se ocultaban en las afueras de la ciudad a comer luna helada, luna creciente, luna que de pronto no les [[помещалась]] más en la boca ni en los ojos, por ser ya la primera noche de plenilunio.	cabía
sin dejar huellas, urgidos, [[осторожные]], arropados en ligero ripio de neblina.	cautelosos
Esa noche, desde uno de los templos de tiniebla y agua, tiniebla vegetal y agua de oro plenilunar, desde una de las fortalezas de granizo petrificado y torres de dientes rojiamarillos por el [[отблеск]] de los blandones de ocote, desde una de las casas construidas sobre colinas verdes, desgranaría la mazorca de maíz el himno sacro, salpicaría sangre de batalla la arenga guerrera, deshojaría flores de dicha el madrigal, en las voces de 	fulgor
, tiniebla vegetal y agua de oro plenilunar, desde una de las fortalezas de granizo petrificado y torres de dientes rojiamarillos por el fulgor de los blandones de ocote, desde una de las casas construidas sobre colinas verdes, desgranaría la [[початок]] de maíz el himno sacro, salpicaría sangre de batalla la arenga guerrera, deshojaría flores de dicha el madrigal, en las voces de los que cantaban para coronar, con las tablillas escogidas, de maíz, sangre y amor aquella lunación poética.	mazorca
Luna, autor de la tablilla que cantaban, vestía de fiesta de maíz, se presentaba a los sacerdotes, astros de plumas asomados a las estructuras geométricas, y recibía de sus labios, entre [[торжественность]] rituales, el nombre de consanguíneo de los Dioses, y de sus manos enguantadas en mazorcas de perlas, el collar de agua inmóvil, trenza de cristal de roca que ornaría su cuello de agujas refulgentes:Si la voz subía de una de las fortalezas de granizo petrificado, el Mascador de Luna, autor del canto de guerra escogido para entonarlo en las atalayas aquella noche de luna grande, vestía luz de planeta joven, se presentaba a los guerreros, huracanes de plumas de quetzal, y recibía de sus labios, entre retumbar de atabales, el nombre de Flechador de Cantos de Guerra, y de sus manos teñidas de sangre de pitahaya, el dardo de la noche adamantina. Pero, dónde encontrar el mando nacido de copales hablantes, de palabras que pegan las cosas...	pompas
 recibía de sus labios, entre pompas rituales, el nombre de consanguíneo de los Dioses, y de sus manos enguantadas en mazorcas de perlas, el collar de agua inmóvil, trenza de cristal de roca que ornaría su cuello de agujas [[сверкающие]]:Si la voz subía de una de las fortalezas de granizo petrificado, el Mascador de Luna, autor del canto de guerra escogido para entonarlo en las atalayas aquella noche de luna grande, vestía luz de planeta joven, se presentaba a los guerreros, huracanes de plumas de quetzal, y recibía de sus labios, entre retumbar de atabales, el nombre de Flechador de Cantos de Guerra, y de sus manos teñidas de sangre de pitahaya, el dardo de la noche adamantina. Pero, dónde encontrar el mando nacido de copales hablantes, de palabras que pegan las cosas...	refulgentes
, vestía de fiesta de maíz, se presentaba a los sacerdotes, astros de plumas asomados a las estructuras geométricas, y recibía de sus labios, entre pompas rituales, el nombre de consanguíneo de los Dioses, y de sus manos enguantadas en [[початки]] de perlas, el collar de agua inmóvil, trenza de cristal de roca que ornaría su cuello de agujas refulgentes:Si la voz subía de una de las fortalezas de granizo petrificado, el Mascador de Luna, autor del canto de guerra escogido para entonarlo en las atalayas aquella noche de luna grande, vestía luz de planeta joven, se presentaba a los guerreros, huracanes de plumas de quetzal, y recibía de sus labios, entre retumbar de atabales, el nombre de Flechador de Cantos de Guerra, y de sus manos teñidas de sangre de pitahaya, el dardo de la noche adamantina. Pero, dónde encontrar el mando nacido de copales hablantes, de palabras que pegan las cosas...	mazorcas
 que cantaban, vestía de fiesta de maíz, se presentaba a los sacerdotes, astros de plumas asomados a las estructuras geométricas, y recibía de sus labios, entre pompas rituales, el nombre de consanguíneo de los Dioses, y de sus manos [[в перчатках]] en mazorcas de perlas, el collar de agua inmóvil, trenza de cristal de roca que ornaría su cuello de agujas refulgentes:Si la voz subía de una de las fortalezas de granizo petrificado, el Mascador de Luna, autor del canto de guerra escogido para entonarlo en las atalayas aquella noche de luna grande, vestía luz de planeta joven, se presentaba a los guerreros, huracanes de plumas de quetzal, y recibía de sus labios, entre retumbar de atabales, el nombre de Flechador de Cantos de Guerra, y de sus manos teñidas de sangre de pitahaya, el dardo de la noche adamantina. Pero, dónde encontrar el mando nacido de copales hablantes, de palabras que pegan las cosas...	enguantadas
 y agua, tiniebla vegetal y agua de oro plenilunar, desde una de las fortalezas de granizo petrificado y torres de dientes rojiamarillos por el fulgor de los blandones de ocote, desde una de las casas construidas sobre colinas verdes, [[рассыплет]] la mazorca de maíz el himno sacro, salpicaría sangre de batalla la arenga guerrera, deshojaría flores de dicha el madrigal, en las voces de los que cantaban para coronar, con las tablillas escogidas, de maíz, sangre y amor aquella 	desgranaría
 las casas construidas sobre colinas verdes, desgranaría la mazorca de maíz el himno sacro, salpicaría sangre de batalla la arenga guerrera, deshojaría flores de dicha el madrigal, en las voces de los que cantaban para coronar, con las tablillas [[выбранных]], de maíz, sangre y amor aquella lunación poética.	escogidas
 granizo petrificado y torres de dientes rojiamarillos por el fulgor de los blandones de ocote, desde una de las casas construidas sobre colinas verdes, desgranaría la mazorca de maíz el himno sacro, salpicaría sangre de batalla la arenga guerrera, [[оборвёт листья]] flores de dicha el madrigal, en las voces de los que cantaban para coronar, con las tablillas escogidas, de maíz, sangre y amor aquella lunación poética.	deshojaría
 fortalezas de granizo petrificado y torres de dientes rojiamarillos por el fulgor de los blandones de ocote, desde una de las casas construidas sobre colinas verdes, desgranaría la mazorca de maíz el himno sacro, salpicaría sangre de batalla la [[торжественная речь]] guerrera, deshojaría flores de dicha el madrigal, en las voces de los que cantaban para coronar, con las tablillas escogidas, de maíz, sangre y amor aquella lunación poética.	arenga
 plenilunar, desde una de las fortalezas de granizo petrificado y torres de dientes rojiamarillos por el fulgor de los blandones de ocote, desde una de las casas construidas sobre colinas verdes, desgranaría la mazorca de maíz el himno sacro, [[разбрызжет]] sangre de batalla la arenga guerrera, deshojaría flores de dicha el madrigal, en las voces de los que cantaban para coronar, con las tablillas escogidas, de maíz, sangre y amor aquella lunación poética.	salpicaría
Esa noche, desde uno de los templos de tiniebla y agua, tiniebla vegetal y agua de oro plenilunar, desde una de las fortalezas de granizo petrificado y torres de dientes rojiamarillos por el fulgor de los [[больших свечей]] de ocote, desde una de las casas construidas sobre colinas verdes, desgranaría la mazorca de maíz el himno sacro, salpicaría sangre de batalla la arenga guerrera, deshojaría flores de dicha el madrigal, en las voces de los que cantaban 	blandones
 símbolos y signos pintados para el canto y el baile, y depositadas allí, antes del alba, anónimamente, por los Mascadores de Luna que llegaban de los bosques, sin dar la cara, sin dejar huellas, urgidos, cautelosos, arropados en ligero [[осколок]] de neblina.	ripio
sin dar la cara, sin dejar huellas, urgidos, cautelosos, [[завернутый]] en ligero ripio de neblina.	arropados
sin dar la cara, sin dejar huellas, [[настоятельные]], cautelosos, arropados en ligero ripio de neblina.	urgidos
[[Они просыпались]] con la luna nueva tablillas cubiertas de símbolos y signos pintados	amanecían
en los [[косяки]] de la casas de todos los días y todas las noches, construidas con troncos de árboles	quicios
 en los [[притолоки (верхние брусы дверей)]] de las fortalezas de muros de granizo petrificado; en los quicios de la casas	dinteles
al final de [[(парадные) лестницы]] que caían como cascadas de cantos rodados	escalinatas
En las tejavanas de los templos de tiniebla y agua, alzados en [[ходули]] de pirámides, tejavanas de madera coloridas al final de escalinatas que caían como cascadas de cantos rodados ; en los dinteles de las fortalezas de muros de granizo petrificado; en los quicios de la casas de todos los días y 	zancos
En las tejavanas de los templos de tiniebla y agua, alzados en [[ходули]] de pirámides, tejavanas de madera coloridas al final de escalinatas que caían como cascadas de cantos rodados ; en los dinteles de las fortalezas de muros de granizo petrificado; en los quicios de la casas de todos los …	zancos
En las tejavanas de los templos de tiniebla y agua, [[поднятые]] en zancos de pirámides	alzados
En las tejavanas de los templos de [[темнота]] y agua,	tiniebla
En las [[навесы]] de los templos de tiniebla y agua,	tejavanas
