Harry vit [[таким образом]] de quoi il s'agissait et fit aussitôt un pas de côté.	alors
Je suis vraiment [[сожалею]] pour le coup de téléphone. 	désolé
Le condamné se contentait de jeter un simple sortilège de Gèle-Flamme, [[затем]] faisait semblant de se tordre de douleur dans l'apparente fournaise alors qu'en réalité, il n'éprouvait qu'une agréable sensation de chatouillis. 	puis
Il travaille [[там]] comme conjureur de sorts pour le compte de la banque Gringotts, la banque des sorciers. »	là-bas
Harry examina la photographie animée et un sourire éclaira son visage lorsqu'il vit les neuf membres de la famille Weasley lui faire de grands signes de la main [[перед]] une pyramide égyptienne. 	devant
Sa silhouette découpée dans la lueur de la lune, une grande créature étrangement penchée de [[сторона]] battait des ailes en volant dans la direction de Harry. 	côté
[[в течении часа]], il avait treize ans et ne s'en était même pas aperçu.	Depuis une heure
Harry s'assit sur son lit, prit le paquet qu'avait apporté Errol, arracha le papier kraft qui le protégeait et découvrit un cadeau enveloppé dans du papier doré [[таким образом]] que la première carte d'anniversaire qu'il eût jamais reçue. 	ainsi
Il espérait cependant qu'elle serait [[скоро]] de retour. 	bientôt
Je croîs bien qu'elle [[хотела]] être sûre qu'on t'envoie quelque chose pour ton anniversaire, cette fois-ci. 	voulait
Les couvertures tirées par-dessus sa tête comme une tente, Harry était allongé à plat ventre sur son [[кровать]], une lampe torche dans une main, un livre relié plein cuir ouvert sur son oreiller. 	lit
[[в противном случае]], je te verrai dans le Poudlard Express, le 1er septembre.	Sinon
Au Moyen Age, les personnes dépourvues de pouvoirs magiques (appelées communément « Moldus ») ressentaient une terreur particulière à l'égard de la sorcellerie, mais étaient [[часто]] incapables de reconnaître ceux qui la pratiquaient vraiment. 	souvent
Harry appuya du [[концом]] du doigt sur le paquet qui émit à nouveau des claquements. 	bout
Au lieu de le tuer, le [[заклинание]] que lui avait lancé Lord Voldemort s'était retourné contre son auteur et le sorcier maléfique avait dû prendre la fuite dans un état proche de la mort...	sort
Le livre sauta du lit avec un bruit sourd, traversa rapidement la [[комнату; помещение]] et alla se réfugier sous le bureau. 	pièce
Ils atterrirent sur le lit avec un bruit mou et le hibou évanoui bascula sur le [[спина]], les ailes en croix. 	dos
De toute évidence, Ron s'était rendu compte qu'il avait attiré des [[неприятности]] à Harry car il n'avait plus rappelé. 	ennuis
Tout ce que pouvaient faire les Dursley, c'était lui interdire catégoriquement de parler aux voisins et mettre sous [[ключ]], dès le début des vacances, les grimoires, la baguette magique, le chaudron et le balai de Harry pour l'empêcher de s'en servir.	clé
Harry ne connaissait personne qui, plus que les Weasley, ait mérité de gagner un joli [[куча]] d'or. 	tas
Celui-ci le lui rendait bien et il aurait été [[взволнованный]] de lui infliger une retenue d'un mois entier s'il ne lui apportait pas son devoir à la date prévue. 	ravi
Mr Weasley, [[взволнованный]], nous a déclaré: « Cet or va nous servir à faire cet été un voyage en Egypte où se trouve Bill, notre fils aîné. 	ravi
Il aurait été [[взволнованный]] de pouvoir se promener dans le village de Pré-au-lard pendant le week-end; c'était un village entièrement peuplé de sorciers et il n'y avait jamais mis les pieds. 	ravi
[[когда]], par extraordinaire, un sorcier ou une sorcière doté de réels pouvoirs magiques était capturé, sa condamnation au bûcher n'avait aucun effet. 	Lorsque
Peut-être allait-elle apparaître avec dans le bec un cadavre de [[мышь]] qu'elle lui apporterait en s'attendant à recevoir des félicitations. 	souris
De toute évidence, la coupure provenait de La Gazette du sorcier, car les personnages représentés sur la photo en noir et blanc qui accompagnait l'article ne cessaient de [[двигаться]]. 	bouger
Son père et sa mère, eux-mêmes sorciers, étaient morts depuis longtemps et jamais on n'évoquait leur souvenir sous le [[крыша]] des Dursley. 	toit
Au lieu de le tuer, le sort que lui avait lancé Lord Voldemort s'était retourné contre son auteur et le sorcier maléfique avait dû prendre la fuite dans un état [[близко]] de la mort...	proche
Peut-être que tu [[в состоянии]] nous retrouver là-bas ?Ne te laisse pas faire par les Moldus !Et essaye de venir à Londres.RonP.-S.: Percy a été nommé préfet-en-chef. Il a reçu la nouvelle la semaine dernière.	pourras
Il reconnut immédiatement l'écriture brouillonne de son expéditeur: le cadeau venait de Hagrid, le [[лесник, егерь]] de Poudlard. 	garde-chasse
Il n'y avait qu'une toute petite amélioration: après avoir juré qu'il ne l'utiliserait pas pour envoyer des lettres à ses amis, Harry avait été autorisé à laisser Hedwige, sa [[филин]], se promener librement la nuit. 	chouette
Il s'agit d'un Scrutoscope [[карманный]]. 	de poche
Les deux dernières années, les Dursley n'avaient pas pris la peine de le fêter et il n'y avait aucune raison pour qu'ils s'en souviennent [[более]] cette année.	davantage
[[более]] encore que tout le reste, cette cicatrice représentait ce qu'il y avait de plus extraordinaire chez Harry. 	davantage
J'ai trouvé ton cadeau grâce à une société de [[продажа]] par hibou qui a fait passer une petite annonce dans La Gazette du sorcier (je me la fais envoyer ici, c'est tellement agréable de rester en contact avec le monde de la sorcellerie). 	vente
Il n'y avait qu'une toute petite amélioration: après avoir [[поклявшийся]] qu'il ne l'utiliserait pas pour envoyer des lettres à ses amis, Harry avait été autorisé à laisser Hedwige, sa chouette, se promener librement la nuit. 	juré
Son cœur fit un bond dans sa [[грудь]] lorsqu'il déchira le papier et vit un étui de cuir noir sur lequel était grave en lettres d'argent: Nécessaire à balai	poitrine
Ensuite, il tenait absolument à faire ses [[домашнее задание]] de vacances, mais il était obligé de les faire en secret, au beau milieu de la nuit. 	devoirs
Elle donna un affectueux coup de bec à Harry [[в то время как]] qu'il lui enlevait son fardeau, puis elle traversa la pièce d'un coup d'aile pour rejoindre Errol.	tandis
 la famille Dursley se rendait dans la salle de bains à cet instant et entendait au passage le grattement de la plume sur le parchemin, Harry avait toutes les chances de passer le reste de l'été enfermé dans le [[шкаф, каморка]] sous l'escalier.	placard
Puis il se releva, s'étira et regarda l'heure sur le cadran lumineux de son [[будильник]] posé sur la table de nuit.	réveil
Nul n'ignorait qu'il éprouvait une grande tendresse pour les araignées géantes, qu'il s'était empressé d'acheter un redoutable chien à trois têtes à un étranger rencontré dans un pub et qu'il dissimulait volontiers des œufs de dragon dans sa [[хижина]].	cabane
