don	La vérité, c'était que Croûtard n'avait jamais manifesté le moindre don pour quoi que ce soit.
quoi que ce soit	La vérité, c'était que Croûtard n'avait jamais manifesté le moindre don pour quoi que ce soit.
quoi que ce soit	 Je ne pense pas qu'il puisse arriver quoi que ce soit à Harry avec Dumbledore comme directeur de Poudlard.
rouleau	— Il est au bout du rouleau, dit-elle en hochant la tête.
cabotins	— Des cabotins, marmonna Ron.
écartées	 Il atterrit sur le sol, les pattes écartées, et s'enfuit vers la porte de la boutique.
parmi	Intrigué, Harry entra à son tour et se fraya un chemin parmi des sorciers surexcités jusqu'à un podium qui venait d'être installé.
parmi	 parmi la foule qui se pressait sur le Chemin de Traverse.
bouche bée	 s'exclama Ron, bouche bée.
fourrure	 Il y avait aussi des chats de toutes les couleurs, une cage pleine de corbeaux jacasseurs, un panier de petites créatures à fourrure qui chantonnaient bruyamment et, sur le comptoir, une grande cage remplie de rats noirs qui sautaient à la corde en se servant de leurs queues.
fourrure	 La fourrure orangée du chat était épaisse et foisonnante, mais l'animal avait les pattes nettement arquées, et son museau étrangement écrasé, comme s'il avait heurté un mur de plein fouet, lui donnait l'air grincheux.
épaisse	 La fourrure orangée du chat était épaisse et foisonnante, mais l'animal avait les pattes nettement arquées, et son museau étrangement écrasé, comme s'il avait heurté un mur de plein fouet, lui donnait l'air grincheux.
foisonnante	 La fourrure orangée du chat était épaisse et foisonnante, mais l'animal avait les pattes nettement arquées, et son museau étrangement écrasé, comme s'il avait heurté un mur de plein fouet, lui donnait l'air grincheux.
museau	 La fourrure orangée du chat était épaisse et foisonnante, mais l'animal avait les pattes nettement arquées, et son museau étrangement écrasé, comme s'il avait heurté un mur de plein fouet, lui donnait l'air grincheux.
grincheux	 La fourrure orangée du chat était épaisse et foisonnante, mais l'animal avait les pattes nettement arquées, et son museau étrangement écrasé, comme s'il avait heurté un mur de plein fouet, lui donnait l'air grincheux.
ronronnait	 A présent que Croûtard avait disparu de son champ de vision, le chat ronronnait paisiblement dans les bras d'Hermione.
a besoin de	 Ce rat a besoin de repos et de tranquillité !
te faire du souci	 Et cesse de te faire du souci, Pattenrond dormira dans le dortoir des filles et Croûtard dans celui des garçons.
nous avons échoué	 Nous avons tous été mobilisés pour essayer de le retrouver mais jusqu'à présent, nous avons échoué.
tendu	— Ne sois pas ridicule, Ron, répliqua Mr Weasley, qui paraissait très tendu.
puissent	 Il n'y a que les gardiens d'Azkaban qui puissent le capturer, tu peux me croire.
puissent	 Et il allait envoyer deux voitures officielles qui les emmèneraient à la gare pour que les Weasley puissent le surveiller jusqu'à ce qu'il monte dans le train.
achats	Il passait de longues journées ensoleillées à explorer les boutiques et à manger à l'ombre des parasols multicolores disposés aux terrasses des cafés, où les autres clients se montraient leurs achats (« C'est un lunascope, mon vieux, plus besoin de se fatiguer à faire des cartes de la lune ») ou commentaient l'évasion de Sirius Black (« Personnellement, je ne laisserai plus les enfants sortir seuls tant qu'il ne sera pas retourné à Azkaban »).
achats	A cet instant, Mrs Weasley fit son entrée dans le bar, chargée de ses achats et suivie par ses fils jumeaux, Fred et George, qui allaient commencer leur cinquième année à Poudlard, Percy, le nouveau préfet-en-chef et Ginny, la benjamine de la famille.
jumeaux	A cet instant, Mrs Weasley fit son entrée dans le bar, chargée de ses achats et suivie par ses fils jumeaux, Fred et George, qui allaient commencer leur cinquième année à Poudlard, Percy, le nouveau préfet-en-chef et Ginny, la benjamine de la famille.
benjamine	A cet instant, Mrs Weasley fit son entrée dans le bar, chargée de ses achats et suivie par ses fils jumeaux, Fred et George, qui allaient commencer leur cinquième année à Poudlard, Percy, le nouveau préfet-en-chef et Ginny, la benjamine de la famille.
un coup de coude	 lança Fred en écartant Percy d'un coup de coude et en s'inclinant profondément.
épatant	 Absolument épatant.
renversant	 C'est vraiment renversant de te voir...
poitrine	Elle montra l'insigne en argent flambant neuf sur la poitrine de Percy.
orgueil	— Le deuxième préfet-en-chef de la famille, dit-elle avec orgueil.
pourquoi est-ce qu'il faudrait être	— Et pourquoi est-ce qu'il faudrait être préfet ?
drôle	— Ce n'est pas drôle, Ron, dit sèchement Hermione.
drôle	 La vie ne serait plus drôle du tout.
entamaient	 demanda Fred à son père tandis qu'ils entamaient un somptueux gâteau au chocolat.
somptueux	 demanda Fred à son père tandis qu'ils entamaient un somptueux gâteau au chocolat.
gâteau	 demanda Fred à son père tandis qu'ils entamaient un somptueux gâteau au chocolat.
étant donné	— Eh bien, étant donné qu'on n'en a plus et que je travaille là-bas, ils ont décidé de me faire une fleur, répondit Mr Weasley.
me faire une fleur	— Eh bien, étant donné qu'on n'en a plus et que je travaille là-bas, ils ont décidé de me faire une fleur, répondit Mr Weasley.
entrouverte	 La porte de la chambre 12 était entrouverte et Percy semblait furieux.
gamin	 J'ai essayé d'en parler à Fudge, mais il n'a rien voulu entendre, il persiste à traiter Harry comme un gamin.
il ne faut surtout pas	 Mais cette année, il ne faut surtout pas que Harry recommence ce genre de fantaisie !
fou	— Molly, on dit que Sirius Black est fou et c'est sans doute vrai, mais il a été suffisamment intelligent pour arriver à s'évader d'Azkaban alors qu'en principe, c'est impossible.
en veuille	— Mais on n'est pas vraiment sûr qu'il en veuille à Harry...
A mon avis	 A mon avis, il doit être persuadé que tuer Harry permettrait de ramener Tu-Sais-Qui au pouvoir.
agissements	 Black a tout perdu le soir où Harry a mis un terme aux agissements de Tu-Sais-Qui et il a eu tout le temps de ruminer ça pendant les douze ans qu'il a passés à Azkaban...
il est au courant	 J'imagine qu'il est au courant ?
beaucoup moins peur qu'il n'aurait dû	Harry resta immobile à écouter les cris étouffés qui provenaient de la chambre voisine en se demandant pourquoi il avait beaucoup moins peur qu'il n'aurait dû.
craignait	 Ne disait-on pas que Dumbledore était la seule personne que craignait Lord Voldemort lui-même ?
débrouiller	 Pensaient-ils vraiment qu'il était incapable de se débrouiller tout seul ?
