trwalszego	 Jeśli chciałby pan mieć coś trwalszego, polecam jednego z tych…
Pozerzy	— Pozerzy — mruknął Ron.
sięgając	— No cóż, jeśli nie chce pan czegoś nowego, można spróbować tego napoju wzmacniającego — powiedziała czarownica, sięgając pod ladę i wyjmując czerwony flakonik.
wściekle	Coś wielkiego i pomarańczowego spadło ze szczytu najwyższej klatki, wylądowało na jego głowie, po czym zeskoczyło na ladę, prychając wściekle na Parszywka.
szczęka mu opadła	 — zapytał Ron i szczęka mu opadła.
rozpromieniona	Hermiona pokiwała głową, cała rozpromieniona.
rozpromieniona	 — powiedziała rozpromieniona Hermiona.
pysk	 Kot miał gęste, puszyste futerko, ale z całą pewnością miał też krzywe łapy i dziwacznie spłaszczony pysk, jakby w pełnym biegu trafił w jakiś mur.
o mało	 Sprzedawca o mało się nie rozpłakał, jak go poprosiliśmy o dwa egzemplarze.
o mało	— Hermiono, ten zwierzak o mało mnie nie oskalpował!
Świetnie	— Świetnie, dziękuję — odpowiedział Harry, kiedy wszyscy troje, obładowani paczkami, podeszli do pana Weasleya.
szczęście nam nie dopisało	 — Zwolnili nas wszystkich ze zwykłych obowiązków w ministerstwie, z poleceniem poszukiwania zbiega, ale jak dotąd szczęście nam nie dopisało.
nie wątpię	— W to nie wątpię — powiedziała chłodno pani Weasley.
mdłości	 — zapytał George takim tonem, jakby sama myśl o tym przyprawiała go o mdłości.
daniami	 Tom zestawił w saloniku trzy stoły i siedmioro Weasleyów, Harry i Hermiona zasiedli razem, rozkoszując się pięcioma wybornymi daniami.
wyśmienitym budyniu	 — zapytał Fred przy wyśmienitym budyniu czekoladowym.
proporczyki	 — Samochody będą miały proporczyki z literami PN…
skrót	— To skrót od „Prefekt Nadęty” — wtrącił szybko Fred.
Nadęty	— To skrót od „Prefekt Nadęty” — wtrącił szybko Fred.
parsknęli w swoje budynie	Wszyscy prócz Percy’ego i pani Weasley parsknęli w swoje budynie.
był w opałach	Powiedział to beztroskim tonem, ale Harry nie mógł nie zauważyć, że pan Weasley zaczerwienił się zupełnie jak Ron, kiedy był w opałach.
znakomicie	— W każdym razie to znakomicie — powiedziała pani Weasley.
karalucha	— Ron, idź na górę i spakuj się jak należy, bo rano nie będzie na to czasu — oświadczyła stanowczo pani Weasley, a Ron spojrzał na Percy’ego jak na karalucha.
zawartość	 Czarownica za ladą doradzała właśnie jakiemuś czarodziejowi, jak opiekować się dwuogonowymi traszkami, więc Harry, Ron i Hermiona skorzystali ze sposobności, by obejrzeć zawartość klatek.
zawartość	— I płyn wzmacniający Parszywka — dodał Ron, wywalając na podłogę zawartość swojego kufra.
Zawahał się	 Zawahał się, nie chcąc, by się dowiedzieli, że podsłuchał ich kłótnię, ale nagle padło jego imię, więc zamarł bez ruchu, a potem podszedł bliżej do drzwi saloniku.
kłótnię	 Zawahał się, nie chcąc, by się dowiedzieli, że podsłuchał ich kłótnię, ale nagle padło jego imię, więc zamarł bez ruchu, a potem podszedł bliżej do drzwi saloniku.
nie psujmy tego	 Na miłość boską, jest taki szczęśliwy, nie wiedząc o niczym, nie psujmy tego!
baczności	— Nie chcę niczego psuć, chcę, żeby miał się na baczności!
sprytny	— Molly, mówią, że Syriusz Black to szaleniec i może tak jest, ale był na tyle sprytny, że uciekł z Azkabanu, a dobrze wiesz, że to graniczy z cudem.
jak się ma do czynienia z	 — Prawdę mówiąc, ja też… ale jak się ma do czynienia z takim czarodziejem jak Black, trzeba czasami sprzymierzyć się z takimi, których zwykle się unika.
BEZCZELNY	Na odznace widniał teraz napis: PREFEKT BEZCZELNY.
pilnowali go	 I wysyła dwa samochody z ministerstwa, żeby Weasleyowie pilnowali go, zanim znajdzie się w pociągu.
zanim	 I wysyła dwa samochody z ministerstwa, żeby Weasleyowie pilnowali go, zanim znajdzie się w pociągu.
ukatrupił	 Syriusz Black ukatrupił trzynaście osób jednym przekleństwem; państwo Weasleyowie byli przekonani, że Harry’ego ogarnie panika, kiedy dowie się prawdy.
się lękać	 Czyż wszyscy zawsze nie powtarzali, że Dumbledore jest jedyną osobą, której Voldemort może się lękać?
złowrogi	 I czy Black, jako prawa ręka Voldemorta, nie powinien bać się go przynajmniej tak samo, jak jego złowrogi szef?
Nie zamierzam	— Nie zamierzam dać się zamordować — powiedział na głos.
