Harry vit *таким образом* de quoi il s'agissait et fit aussitôt un pas de côté.	alors
Le condamné se contentait de jeter un simple sortilège de Gèle-Flamme, *затем* faisait semblant de se tordre de douleur dans l'apparente fournaise alors qu'en réalité, il n'éprouvait qu'une agréable sensation de chatouillis. 	puis
Sa silhouette découpée dans la lueur de la lune, une grande créature étrangement penchée de *сторона* battait des ailes en volant dans la direction de Harry. 	côté
*в течении часа*, il avait treize ans et ne s'en était même pas aperçu.	Depuis une heure
Harry s'assit sur son lit, prit le paquet qu'avait apporté Errol, arracha le papier kraft qui le protégeait et découvrit un cadeau enveloppé dans du papier doré *таким образом* que la première carte d'anniversaire qu'il eût jamais reçue. 	ainsi
Il espérait cependant qu'elle serait *скоро* de retour. 	bientôt
Les couvertures tirées par-dessus sa tête comme une tente, Harry était allongé à plat ventre sur son *кровать*, une lampe torche dans une main, un livre relié plein cuir ouvert sur son oreiller. 	lit
Au Moyen Age, les personnes dépourvues de pouvoirs magiques (appelées communément « Moldus ») ressentaient une terreur particulière à l'égard de la sorcellerie, mais étaient *часто* incapables de reconnaître ceux qui la pratiquaient vraiment. 	souvent
Au lieu de le tuer, le *заклинание* que lui avait lancé Lord Voldemort s'était retourné contre son auteur et le sorcier maléfique avait dû prendre la fuite dans un état proche de la mort...	sort
Ils atterrirent sur le lit avec un bruit mou et le hibou évanoui bascula sur le *спина*, les ailes en croix. 	dos
De toute évidence, Ron s'était rendu compte qu'il avait attiré des *неприятности* à Harry car il n'avait plus rappelé. 	ennuis
Tout ce que pouvaient faire les Dursley, c'était lui interdire catégoriquement de parler aux voisins et mettre sous *ключ*, dès le début des vacances, les grimoires, la baguette magique, le chaudron et le balai de Harry pour l'empêcher de s'en servir.	clé
Celui-ci le lui rendait bien et il aurait été *взволнованный* de lui infliger une retenue d'un mois entier s'il ne lui apportait pas son devoir à la date prévue. 	ravi
*когда*, par extraordinaire, un sorcier ou une sorcière doté de réels pouvoirs magiques était capturé, sa condamnation au bûcher n'avait aucun effet. 	Lorsque
Peut-être allait-elle apparaître avec dans le bec un cadavre de *мышь* qu'elle lui apporterait en s'attendant à recevoir des félicitations. 	souris
De toute évidence, la coupure provenait de La Gazette du sorcier, car les personnages représentés sur la photo en noir et blanc qui accompagnait l'article ne cessaient de *двигаться*. 	bouger
Son père et sa mère, eux-mêmes sorciers, étaient morts depuis longtemps et jamais on n'évoquait leur souvenir sous le *крыша* des Dursley. 	toit
Au lieu de le tuer, le sort que lui avait lancé Lord Voldemort s'était retourné contre son auteur et le sorcier maléfique avait dû prendre la fuite dans un état *близко* de la mort...	proche
Il n'y avait qu'une toute petite amélioration: après avoir juré qu'il ne l'utiliserait pas pour envoyer des lettres à ses amis, Harry avait été autorisé à laisser Hedwige, sa *филин*, se promener librement la nuit. 	chouette
Les deux dernières années, les Dursley n'avaient pas pris la peine de le fêter et il n'y avait aucune raison pour qu'ils s'en souviennent *более* cette année.	davantage
*более* encore que tout le reste, cette cicatrice représentait ce qu'il y avait de plus extraordinaire chez Harry. 	davantage
Il n'y avait qu'une toute petite amélioration: après avoir *поклявшийся* qu'il ne l'utiliserait pas pour envoyer des lettres à ses amis, Harry avait été autorisé à laisser Hedwige, sa chouette, se promener librement la nuit. 	juré
Ensuite, il tenait absolument à faire ses *домашнее задание* de vacances, mais il était obligé de les faire en secret, au beau milieu de la nuit. 	devoirs
Elle donna un affectueux coup de bec à Harry *в то время как* qu'il lui enlevait son fardeau, puis elle traversa la pièce d'un coup d'aile pour rejoindre Errol.	tandis
 la famille Dursley se rendait dans la salle de bains à cet instant et entendait au passage le grattement de la plume sur le parchemin, Harry avait toutes les chances de passer le reste de l'été enfermé dans le *шкаф, каморка* sous l'escalier.	placard
Puis il se releva, s'étira et regarda l'heure sur le cadran lumineux de son *будильник* posé sur la table de nuit.	réveil
 des membres de la famille Dursley se rendait dans la salle de bains à cet instant et entendait au passage le grattement de la plume sur le parchemin, Harry avait toutes les chances de passer le reste de l'été *заключенный* dans le placard sous l'escalier.	enfermé
Derrière ses lunettes, ses yeux brillaient d'un vert étincelant et sur son front, parfaitement visible derrière une mèche de cheveux, se dessinait une mince cicatrice en forme d'*молния*.	éclair
Il reboucha la bouteille d'encre, enveloppa sa lampe torche, son livre, son parchemin, sa plume et l'encre dans une vieille taie d'oreiller, se leva et alla cacher le tout sous une *доска* de parquet branlante dissimulée par son lit. 	lame
Pendant une fraction de seconde, il hésita, la main sur la *ручка (окна)* de la fenêtre, en se demandant s'il ne ferait pas mieux de la refermer mais au même moment, la créature passa au-dessus d'un réverbère de Privet Drive. 	poignée
Les petits yeux de l'oncle Vernon s'étaient *немедленно* tournés vers Harry, toujours pétrifié.	aussitôt
et fit *немедленно* un pas de côté.	aussitôt
Harry reconnut *немедленно* le hibou inanimé. 	aussitôt
Aussi Harry avait-il *ухватился* l'occasion qui lui avait été offerte dès la première semaine de vacances. 	saisi
De toute évidence, Ron s'était rendu compte qu'il avait *вызвал* des ennuis à Harry car il n'avait plus rappelé. 	attiré
Et il avait jeté le combiné sur son socle comme s'il s'était agi d'une *паук* venimeuse.	araignée
Avec des gestes lents et précautionneux, il dévissa le bouchon de la bouteille, trempa sa plume dans l'*чернила* et se mit à écrire en s'arrêtant de temps à autre pour tendre l'oreille. 	encre
 prendre une bouteille d'*чернила* et un rouleau de parchemin. 	encre
Tout ce que pouvaient faire les Dursley, c'était lui interdire catégoriquement de parler aux voisins et mettre sous clé, dès le début des vacances, les grimoires, la baguette magique, le chaudron et le *метла* de Harry pour l'empêcher de s'en servir.	balai
Elle donna un affectueux coup de bec à Harry tandis qu'il lui enlevait son *бремя; груз*, puis elle traversa la pièce d'un coup d'aile pour rejoindre Errol.	fardeau
Celui-ci le lui rendait bien et il aurait été ravi de lui infliger une *отчисление* d'un mois entier s'il ne lui apportait pas son devoir à la date prévue. 	retenue
Celui-ci le lui *сделанный* bien et il aurait été ravi de lui infliger une retenue d'un mois entier s'il ne lui apportait pas son devoir à la date prévue. 	rendait
Les couvertures tirées par-dessus sa tête comme une tente, Harry était allongé à plat ventre sur son lit, une lampe torche dans une main, un livre relié plein cuir ouvert sur son *подушка*. 	oreiller
De sa vie, il n'avait jamais reçu une carte pour le lui *пожелание*. 	souhaiter
Du moment qu'il veillait à ne pas faire de *пятна* d'encre sur les draps, les Dursley ne s'apercevraient jamais qu'il passait une partie de la nuit à étudier la magie.Harry tenait à éviter tout conflit avec sa tante et son oncle. Leur humeur à son égard était déjà exécrable à cause d'un coup de téléphone qu'un de ses camarades sorciers lui avait donné au début des vacances.	taches
Harry traversa la pièce *погруженную* dans l'obscurité. 	plongée
L'oncle Vernon avait fini par *уступить* pour mettre fin au vacarme que faisait Hedwige lorsqu'elle restait enfermée trop longtemps dans sa cage.	céder
Sa silhouette découpée dans la lueur de la lune, une grande créature étrangement penchée de côté *бьющее* des ailes en volant dans la direction de Harry. 	battait
Les couvertures tirées par-dessus sa tête comme une tente, Harry était *лежавший* à plat ventre sur son lit, une lampe torche dans une main, un livre relié plein cuir ouvert sur son oreiller. 	allongé
Avec des gestes lents et précautionneux, il dévissa le *пробка* de la bouteille, trempa sa plume dans l'encre et se mit à écrire en s'arrêtant de temps à autre pour tendre l'oreille. 	bouchon
Sa silhouette découpée dans la *свет* de la lune, une grande créature étrangement penchée de côté battait des ailes en volant dans la direction de Harry. 	lueur
Par malchance, c'était l'oncle Vernon qui avait *снял трубку*.	décroché
Deux d'entre eux portaient le troisième qui semblait *без сознания*. 	évanoui
Celui-ci le lui rendait bien et il aurait été ravi de lui infliger une retenue d'un mois entier s'il ne lui apportait pas son devoir à la date *ожидаемый*. 	prévue
Le regard perdu vers les *крыши* des maisons environnantes, Harry mit quelques secondes à se rendre compte de ce qui se passait devant ses yeux.	toits
Les *брови* froncés, Harry Potter fit courir le long de la page la pointe de la plume d'aigle qu'il tenait dans son autre main. 	sourcils
Dans cette maison, c'était le seul être vivant qui n'avait pas un mouvement de *отступление* en le voyant.	recul
Assassinés par le mage noir le plus *грозный, внушающий страх* qu'on ait connu depuis un siècle, Lord Voldemort. 	redoutable
Harry tint sa plume entre ses dents et glissa une main sous l'oreiller pour prendre une bouteille d'encre et un *свиток* de parchemin. 	rouleau
Harry s'assit sur son lit, prit le paquet qu'avait apporté Errol, arracha le papier kraft qui le protégeait et découvrit un cadeau enveloppé dans du papier *позолоченной* ainsi que la première carte d'anniversaire qu'il eût jamais reçue. 	doré
Harry ne connaissait pas le troisième oiseau, un magnifique hibou au plumage fauve, mais il sut tout de suite d'où il venait, car en plus d'un troisième paquet, il portait une lettre sur laquelle il reconnut immédiatement le *печать* du collège Poudlard. 	sceau
Harry ne connaissait pas le troisième oiseau, un magnifique *филин* au plumage fauve	hibou
Puis il porta le *филин* dans la cage d'Hedwige. 	hibou
Lorsque, par extraordinaire, un sorcier ou une sorcière doté de réels pouvoirs magiques était capturé, sa condamnation au *погребальный костер* n'avait aucun effet. 	bûcher
Ses cheveux d'un noir de jais, eux, n'avaient pas changé: ils étaient toujours en bataille et restaient obstinément rétifs à tous ses efforts pour les *причесать*. 	coiffer
L'oncle Vernon avait fini par céder pour mettre fin au *шум* que faisait Hedwige lorsqu'elle restait enfermée trop longtemps dans sa cage.	vacarme
Et il avait jeté le *трубка (телефона)* sur son socle comme s'il s'était agi d'une araignée venimeuse.	combiné
Le condamné se contentait de jeter un simple *заклинание* de Gèle-Flamme, puis faisait semblant de se tordre de douleur dans l'apparente fournaise alors qu'en réalité, il n'éprouvait qu'une agréable sensation de chatouillis. 	sortilège
C'était précisément à cause de la famille Dursley, domiciliée au 4, Privet Drive, que Harry n'avait jamais eu le *досуг* d'apprécier les vacances d'été. 	loisir
Harry se précipita sur le lit, détacha la *верёвка; шнур* autour de ses pattes et prit le paquet. 	ficelle
Le condamné se contentait de jeter un simple sortilège de Gèle-Flamme, puis faisait semblant de se *корчиться* de douleur dans l'apparente fournaise alors qu'en réalité, il n'éprouvait qu'une agréable sensation de chatouillis. 	tordre
Celui-ci le lui rendait bien et il aurait été ravi de lui *причинить* une retenue d'un mois entier s'il ne lui apportait pas son devoir à la date prévue. 	infliger
Les deux dernières années, les Dursley n'avaient pas pris la peine de le fêter et il n'y avait aucune raison pour qu'ils s'en *вспомнили* davantage cette année.	souviennent
Lorsque, par extraordinaire, un sorcier ou une sorcière *с; обладающий, одарённый* de réels pouvoirs magiques était capturé, sa condamnation au bûcher n'avait aucun effet. 	doté
Il s'appuya sur le *подоконник*, appréciant la fraîcheur de l'air nocturne sur son visage, après tout ce temps passé sous les couvertures. 	rebord
Ils *принадлежал* au monde des Moldus et avaient à l'égard de la magie une attitude très médiévale. 	appartenaient
Tout ce que pouvaient faire les Dursley, c'était lui interdire catégoriquement de parler aux voisins et mettre sous clé, dès le début des vacances, les grimoires, la baguette magique, le *котел* et le balai de Harry pour l'empêcher de s'en servir.	chaudron
Puis il se releva, s'étira et regarda l'heure sur le *диск* lumineux de son réveil posé sur la table de nuit.	cadran
Sa silhouette découpée dans la lueur de la lune, une grande créature étrangement *наклонённое* de côté battait des ailes en volant dans la direction de Harry. 	penchée
Trois *совы* s'engouffrèrent par la fenêtre ouverte. 	hiboux
Seuls les lointains *храп* de Dudley, son énorme cousin, rompaient le silence qui régnait dans la maison. 	ronflements
Sa silhouette *вырезанный* dans la lueur de la lune, une grande créature étrangement penchée de côté battait des ailes en volant dans la direction de Harry. 	découpée
