Je suis vraiment *сожалею* pour le coup de téléphone.	désolé
Il travaille *там* comme conjureur de sorts pour le compte de la banque Gringotts, la banque des sorciers.	là-bas
Harry examina la photographie animée et un sourire éclaira son visage lorsqu'il vit les neuf membres de la famille Weasley lui faire de grands signes de la main *перед* une pyramide égyptienne.	devant
Je croîs bien qu'elle *хотела* être sûre qu'on t'envoie quelque chose pour ton anniversaire, cette fois-ci.	voulait
*в противном случае*, je te verrai dans le Poudlard Express, le 1er septembre.	sinon
Harry appuya du *концом* du doigt sur le paquet qui émit à nouveau des claquements.	bout
Le livre sauta du lit avec un bruit sourd, traversa rapidement la *комнату; помещение* et alla se réfugier sous le bureau.	pièce
Harry ne connaissait personne qui, plus que les Weasley, ait mérité de gagner un joli *куча* d'or.	tas
Mr Weasley, *взволнованный*, nous a déclaré: « Cet or va nous servir à faire cet été un voyage en Egypte où se trouve Bill, notre fils aîné.	ravi
Il aurait été *взволнованный* de pouvoir se promener dans le village de Pré-au-lard pendant le week-end;	ravi
Peut-être que tu *в состоянии* nous retrouver là-bas ?	pourras
Il reconnut immédiatement l'écriture brouillonne de son expéditeur: le cadeau venait de Hagrid, le *лесник, егерь* de Poudlard.	garde-chasse
Il s'agit d'un Scrutoscope *карманный*.	de poche
J'ai trouvé ton cadeau grâce à une société de *продажа* par hibou qui a fait passer une petite annonce dans La Gazette du sorcier (je me la fais envoyer ici, c'est tellement agréable de rester en contact avec le monde de la sorcellerie).	vente
Son cœur fit un bond dans sa *грудь* lorsqu'il déchira le papier et vit un étui de cuir noir sur lequel était grave en lettres d'argent: Nécessaire à balai	poitrine
Nul n'ignorait qu'il éprouvait une grande tendresse pour les araignées géantes, qu'il s'était empressé d'acheter un redoutable chien à trois têtes à un étranger rencontré dans un pub et qu'il dissimulait volontiers des œufs de dragon dans sa *хижина*.	cabane
Saisissant sa lampe de chevet, il la leva au-dessus de sa tête, prêt à frapper, puis il attrapa entre le *большой палец руки* et l'index le papier qui enveloppait le paquet et tira d'un coup.	pouce
Harry ne se souvenait que trop bien des circonstances dans lesquelles la vieille baguette de Ron s'était *сломанный*.	cassée
Son cœur fit un bond dans sa poitrine lorsqu'il déchira le papier et vit un étui de *кожа* noir sur lequel était grave en lettres d'argent: Nécessaire à balai	cuir
Le Poudlard Express partira de la gare de King's Cross, *перрон* n°9 3/4 à onze heures précises.	quai
